country,type,release_year,total_titles
"United Kingdom, United States, Spain, Germany, Greece, Canada",Movie,2011,2
United States,Movie,1942,2
United States,Movie,1944,2
United States,Movie,1958,2
United States,Movie,1960,2
United States,Movie,1972,2
United States,Movie,1977,2
United States,Movie,1979,2
United States,Movie,1982,2
United States,Movie,1983,2
United States,TV Show,1988,2
United States,TV Show,1992,2
United States,TV Show,1993,2
United States,TV Show,2000,2
United States,TV Show,2004,2
"United States, Australia",Movie,2003,2
"United States, Australia",Movie,2010,2
"United States, Australia",Movie,2015,2
"United States, Canada",Movie,2000,2
"United States, Canada",Movie,2008,2
"United States, Canada",Movie,2009,2
"United States, Canada",Movie,2014,2
"United States, Canada",TV Show,2021,2
"United States, China",Movie,2008,2
"United States, China",Movie,2016,2
"United States, China",Movie,2017,2
"United States, Colombia",TV Show,2018,2
"United States, Czech Republic",TV Show,2018,2
"United States, France",Movie,2008,2
"United States, France",Movie,2014,2
"United States, France, Japan",TV Show,1997,2
"United States, Germany",Movie,1997,2
"United States, Germany",Movie,2004,2
"United States, Germany",Movie,2005,2
"United States, Germany",Movie,2009,2
"United States, Greece",Movie,2016,2
"United States, India",Movie,2011,2
"United States, India",Movie,2015,2
"United States, Mexico",Movie,2017,2
"United States, Spain",Movie,2016,2
"United States, United Kingdom",Movie,2008,2
"United States, United Kingdom",Movie,2009,2
"United States, United Kingdom",Movie,2010,2
"United States, United Kingdom",Movie,2011,2
"United States, United Kingdom",TV Show,2009,2
"United States, United Kingdom, France",Movie,2009,2
Vietnam,Movie,2019,2
", France, Algeria",Movie,2014,1
", South Korea",TV Show,2021,1
Argentina,Movie,1998,1
Argentina,Movie,2004,1
Argentina,Movie,2006,1
Argentina,Movie,2007,1
Argentina,Movie,2021,1
Argentina,TV Show,2016,1
Argentina,TV Show,2021,1
"Argentina, Brazil, France, Poland, Germany, Denmark",Movie,2017,1
"Argentina, Chile",Movie,2006,1
"Argentina, Chile",Movie,2017,1
"Argentina, Chile, Peru",Movie,2015,1
"Argentina, France",Movie,2017,1
"Argentina, France, United States, Germany, Qatar",Movie,2017,1
"Argentina, Italy",Movie,2017,1
"Argentina, Spain",Movie,1993,1
"Argentina, Spain",Movie,2013,1
"Argentina, Spain",Movie,2016,1
"Argentina, Spain",TV Show,2006,1
"Argentina, United States",Movie,2019,1
"Argentina, United States, Mexico",TV Show,2020,1
"Argentina, Uruguay, Serbia",Movie,2018,1
"Argentina, Uruguay, Spain, France",Movie,2017,1
"Argentina, Venezuela",Movie,2014,1
Australia,Movie,1981,1
Australia,Movie,1992,1
Australia,Movie,1998,1
Australia,Movie,2005,1
Australia,Movie,2011,1
Australia,TV Show,1999,1
Australia,TV Show,2007,1
Australia,TV Show,2009,1
Australia,TV Show,2012,1
Australia,TV Show,2013,1
"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay",Movie,2017,1
"Australia, Canada",Movie,2017,1
"Australia, Canada",TV Show,2018,1
"Australia, France",Movie,2013,1
"Australia, France, Ireland",Movie,2010,1
"Australia, Germany",TV Show,2020,1
"Australia, India",Movie,2016,1
"Australia, Iraq",Movie,2015,1
"Australia, New Zealand",TV Show,2020,1
"Australia, New Zealand, United States",TV Show,2017,1
"Australia, United Kingdom",Movie,1992,1
"Australia, United Kingdom",TV Show,2021,1
"Australia, United Kingdom, Canada",Movie,2014,1
"Australia, United Kingdom, United Arab Emirates, Canada",Movie,2015,1
"Australia, United Kingdom, United States, New Zealand, Italy, France",Movie,2014,1
"Australia, United States",Movie,1979,1
"Australia, United States",Movie,1990,1
"Australia, United States",Movie,2001,1
"Australia, United States",Movie,2006,1
"Australia, United States",Movie,2015,1
"Australia, United States",Movie,2021,1
"Australia, United States",TV Show,2017,1
Austria,Movie,2016,1
Austria,Movie,2017,1
Austria,Movie,2019,1
"Austria, Czech Republic",Movie,2014,1
"Austria, Germany",TV Show,2020,1
"Austria, Iraq, United States",Movie,2018,1
"Austria, United States",Movie,2017,1
Bangladesh,Movie,2017,1
Belarus,TV Show,2016,1
Belgium,Movie,2015,1
Belgium,TV Show,2018,1
"Belgium, France",Movie,2021,1
"Belgium, France, Netherlands",Movie,2016,1
"Belgium, Ireland, Netherlands, Germany, Afghanistan",Movie,2016,1
"Belgium, Netherlands",Movie,2021,1
"Belgium, Netherlands",TV Show,2020,1
"Belgium, United Kingdom",Movie,2021,1
"Belgium, United Kingdom, United States",Movie,2018,1
Brazil,Movie,2012,1
Brazil,TV Show,2014,1
Brazil,TV Show,2016,1
Brazil,TV Show,2017,1
Brazil,TV Show,2021,1
"Brazil, France",Movie,2017,1
"Brazil, France",Movie,2020,1
"Brazil, France, Germany",Movie,2002,1
"Brazil, India, China, United States",Movie,2017,1
"Brazil, Netherlands, United States, Colombia, Austria, Germany",Movie,2016,1
"Brazil, United Kingdom",TV Show,2020,1
"Brazil, United States",Movie,2012,1
Bulgaria,Movie,2018,1
"Bulgaria, United States",Movie,2016,1
"Bulgaria, United States, Spain, Canada",Movie,2014,1
Cambodia,Movie,2017,1
"Cambodia, United States",Movie,2017,1
Cameroon,Movie,2020,1
Canada,Movie,1998,1
Canada,Movie,2004,1
Canada,Movie,2008,1
Canada,Movie,2009,1
Canada,TV Show,1998,1
Canada,TV Show,2009,1
Canada,TV Show,2010,1
Canada,TV Show,2011,1
Canada,TV Show,2013,1
"Canada, Australia",TV Show,2015,1
"Canada, Australia",TV Show,2019,1
"Canada, Belgium",Movie,2018,1
"Canada, Brazil",TV Show,2019,1
"Canada, France",TV Show,2016,1
"Canada, France, Italy, Morocco, United States",Movie,2014,1
"Canada, France, United States",Movie,2012,1
"Canada, Germany",Movie,2019,1
"Canada, Germany, France, United States",Movie,2014,1
"Canada, Germany, South Africa",TV Show,2017,1
"Canada, Hungary, United States",Movie,2020,1
"Canada, India",Movie,2014,1
"Canada, India",Movie,2017,1
"Canada, India, Thailand, United States, United Arab Emirates",Movie,2016,1
"Canada, Ireland, United States",Movie,2016,1
"Canada, Japan, Netherlands",TV Show,2017,1
"Canada, Japan, United States",Movie,2018,1
"Canada, Luxembourg",Movie,2014,1
"Canada, Mexico, Germany, South Africa",Movie,2015,1
"Canada, Nigeria",Movie,2010,1
"Canada, Nigeria, United States",Movie,2015,1
"Canada, Norway",Movie,2019,1
"Canada, South Korea, United States",Movie,2014,1
"Canada, Spain",Movie,2016,1
"Canada, Spain, France",Movie,2013,1
"Canada, United Kingdom",Movie,2020,1
